3,Red Dead Redemption,Rockstar Games,2010,Western/Shooter/Roleplay,95,18,PS3/Xbox360,False
3,Call of Duty,Aspyr Media,2003,Shooter,91,18,PC,False
4,Eleanor Rigby,The Beatles,1966,Rock,89,14,music_storage/Eleanor_Rigby.mp3,180
4,Love You To,The Beatles,1966,Rock,81,14,music_storage/Love_You_To.mp3,223
4,Yellow Submarine,The Beatles,1966,Rock,83,14,music_storage/Yellow_Submarine.mp3,200
4,She Said She Said,The Beatles,1966,Rock,87,14,music_storage/She_Said_She_Said.mp3,170
1,Убежать от реальности,Бабанский В. В.,1965,Fiction,86,10,book_contents/3.txt,469
1,Лезвие на воде,Александров Б. Ю.,1977,Fiction,98,14,book_contents/4.txt,155
1,Мы друзья?,Проскуряков А. С.,2012,Fiction,54,21,book_contents/5.txt,499
